,video_id,trending_date,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_title,Country,duration
85842,2VCe61FWkPM,18.19.02,2018-02-18T10:06:22.000Z,5012,238,3,17,False,False,Entertainment,FR,6:37
328331,sjTeOv3qSwg,18.03.01,2018-01-02T14:00:04.000Z,11125,81,27,54,False,False,Howto & Style,RU,
75238,fxVO2OKEht0,18.04.04,2018-04-01T21:46:40.000Z,41629,1472,39,163,False,False,News & Politics,DE,3:25
370351,qB24uIe2Q7c,18.30.04,2018-04-23T17:00:04.000Z,951177,50807,1037,3739,False,False,Howto & Style,US,13:50
20600,3jRDH1hSnpM,18.09.06,2018-06-08T15:26:27.000Z,74406,1680,14,88,False,False,Entertainment,CA,1:28
76099,04mCQNQW-RM,18.14.06,2018-06-12T17:18:59.000Z,34835,2128,51,477,False,False,News & Politics,DE,
94671,Ji4wI_Yop7I,18.04.05,2018-05-02T15:32:29.000Z,32732,3486,59,388,False,False,Comedy,FR,
111770,26V-SFnmGG8,17.22.11,2017-11-21T19:13:42.000Z,1434,283,0,23,False,False,News & Politics,FR,10:05
313788,r3uACJHRioY,18.15.03,2018-03-13T13:59:29.000Z,673737,13483,642,992,False,False,Education,RU,3:30
23883,NsdOMrnRsvE,18.20.04,2018-04-19T12:00:03.000Z,185458,23743,148,6811,False,False,News & Politics,CA,
189677,sPK8bwoqJvI,18.17.03,2018-03-14T04:30:00.000Z,2940141,81501,2957,4638,False,False,Music,IN,4:17
43833,UPsb6NONHYg,17.25.12,2017-12-23T11:40:34.000Z,53637,324,63,14,False,False,Entertainment,DE,
17774,QiwtLBQrjG0,18.01.05,2018-04-29T15:19:49.000Z,437516,7737,565,1216,False,False,Entertainment,CA,
70031,iDTz8ozi5_A,18.27.02,2018-02-26T05:30:00.000Z,9961,612,11,117,False,False,Sports,DE,18:22
301434,wwDUDgDoJDg,18.02.05,2018-05-01T12:14:27.000Z,14434,832,75,225,False,False,People & Blogs,RU,23:50
197970,QghTQMLZvTo,18.08.02,2018-02-06T21:19:11.000Z,41437,104,20,0,True,False,News & Politics,JP,
295919,Rl9o_Mv3API,18.08.01,2018-01-07T05:00:01.000Z,8226,24,12,8,False,False,People & Blogs,RU,
98515,PyeaG6POwnk,18.29.01,2018-01-28T14:23:57.000Z,32085,208,11,48,False,False,Sports,FR,5:38
307243,DxQmOzWYsEk,18.19.04,2018-04-18T12:00:02.000Z,83422,3802,856,1660,False,False,Entertainment,RU,
25473,FKFy_pyK7E8,17.01.12,2017-11-28T19:03:59.000Z,556924,9317,347,1464,False,False,People & Blogs,CA,
11604,7ZPaaPK2uro,18.19.01,2018-01-18T17:06:09.000Z,263433,1364,261,551,False,False,Entertainment,CA,
31045,E4vGp7DV2QM,18.01.06,2018-05-31T19:00:01.000Z,617494,11245,715,1684,False,False,Howto & Style,CA,10:24
226335,_2oDx-y7lmo,17.06.12,2017-12-05T07:12:00.000Z,33584,0,0,185,False,True,News & Politics,KR,27:40
47731,dWcWQZ2ll8k,18.18.02,2018-02-17T22:01:45.000Z,56949,855,63,251,False,False,Entertainment,DE,
74151,hCO4YradZRM,18.22.01,2018-01-18T11:37:01.000Z,508237,1749,2544,222,False,False,News & Politics,DE,1:24
292128,dGQwmPawvPs,18.26.02,2018-02-26T02:18:11.000Z,3380,30,2,4,False,False,Gaming,MX,1:05
304211,l5vxZlJtWqQ,17.20.12,2017-12-19T20:00:07.000Z,32583,252,23,91,False,False,Entertainment,RU,28:16
196127,L05sXhdGVZU,17.18.12,2017-12-15T11:33:12.000Z,87068,94,46,7,False,False,Howto & Style,IN,
34802,-195_1aDUyc,18.05.01,2018-01-02T22:46:26.000Z,473556,34091,354,3183,False,False,Gaming,CA,
44966,tvrlDM5Ae3U,18.09.01,2018-01-07T16:40:40.000Z,42457,1275,348,687,False,False,Entertainment,DE,
80737,pqYnmLEj_O8,18.07.04,2018-04-06T07:00:43.000Z,593938,24450,661,3415,False,False,Science & Technology,DE,0:06
61359,6BJOyEo05Ac,18.15.01,2018-01-13T23:48:22.000Z,26763,393,23,12,False,False,People & Blogs,DE,3:36
181754,j5maoYx2_F4,18.13.05,2018-05-10T11:18:19.000Z,944250,19750,2847,1688,False,False,Entertainment,IN,29:20
108238,5ZdLKLcTFEk,17.23.12,2017-12-22T11:00:00.000Z,5904,414,8,23,False,False,Howto & Style,FR,2:50
263915,oLtEQPPEmzA,18.12.05,2018-04-26T05:55:53.000Z,13298,101,12,31,False,False,Entertainment,MX,
96285,AVL-0moiqEw,18.22.02,2018-02-21T13:01:39.000Z,9571,803,16,155,False,False,Gaming,FR,14:30
227660,fvs7uHMRRt0,18.13.01,2018-01-11T03:06:39.000Z,20008,125,14,13,False,False,News & Politics,KR,
268786,bZ4kq0Qicx4,18.19.01,2018-01-17T15:58:01.000Z,1475239,117807,6793,6029,False,False,People & Blogs,MX,6:49
265267,dawe1mqjdY8,18.01.06,2018-05-31T15:30:00.000Z,16529,584,18,45,False,False,Entertainment,MX,2:17
219617,8IVa9MOFNfQ,17.15.12,2017-12-11T12:43:33.000Z,1331183,24648,1486,967,False,False,People & Blogs,KR,
286550,qt13pXFT4tg,18.28.01,2018-01-27T17:12:25.000Z,2426665,18264,1946,5692,False,False,Sports,MX,
228374,Woay1rvs9ko,18.03.02,2018-02-02T11:18:19.000Z,19612,108,12,148,False,False,News & Politics,KR,2:40
102799,l4dxtlJidDQ,18.07.01,2018-01-06T03:24:12.000Z,23960,146,25,12,False,False,People & Blogs,FR,
121768,bbdo0m2Hc_4,18.01.02,2018-01-31T11:30:01.000Z,5671,625,7,67,False,False,Pets & Animals,FR,10:26
279129,Saw00EvdAUU,18.28.03,2018-03-28T00:00:00.000Z,16150,1854,24,157,False,False,Howto & Style,MX,6:59
19969,vUltH53kldI,18.31.05,2018-05-30T16:00:04.000Z,44417,756,14,68,False,False,Entertainment,CA,1:06
253029,xsu0VodjA3s,17.19.11,2017-11-17T18:05:52.000Z,416897,31992,320,1292,False,False,Entertainment,MX,
86867,8qubInEjSfs,18.12.03,2018-03-09T16:00:00.000Z,378188,22926,2669,6262,False,False,Entertainment,FR,
275446,a_-GyyEv8ak,18.20.02,2018-02-19T15:25:20.000Z,82397,1226,83,162,False,False,News & Politics,MX,
298831,tfLCdylb38s,18.05.03,2018-03-04T19:32:22.000Z,4147,336,5,118,False,False,People & Blogs,RU,7:59
217849,GJ_NYz_W2iY,18.03.04,2018-04-02T09:52:43.000Z,28732,212,51,46,False,False,Gaming,JP,6:39
70880,vF7AMbIS1NY,18.06.05,2018-05-03T22:21:42.000Z,585990,6841,430,0,True,False,Sports,DE,
67480,Ylfd1SZnoUA,18.17.05,2018-05-14T14:00:03.000Z,158727,9638,218,980,False,False,Film & Animation,DE,
302085,aQUtaRDoknI,18.17.05,2018-05-16T15:04:06.000Z,37704,1984,46,46,False,False,People & Blogs,RU,7:12
70683,adO-Ezi0hU8,18.22.04,2018-04-21T23:30:03.000Z,2915,27,27,74,False,False,Sports,DE,
199759,vw_vPnnDVi0,18.21.03,2018-03-20T18:15:42.000Z,13941,829,8,218,False,False,Film & Animation,JP,
203726,6Z-v3NuAGwE,18.05.05,2018-05-04T10:00:01.000Z,457620,10388,1328,1087,False,False,People & Blogs,JP,
100120,daIMbBJVuwQ,18.20.04,2018-04-19T15:00:06.000Z,82524,9255,54,3104,False,False,Sports,FR,7:16
113357,DdgQYkO9qVg,18.19.02,2018-02-17T22:02:26.000Z,901426,9160,1162,2715,False,False,News & Politics,FR,
199605,Dhe2jBx7chw,18.09.03,2018-03-08T11:05:59.000Z,209839,5176,58,749,False,False,Film & Animation,JP,
361456,DGhPGH2YROA,18.14.03,2018-02-27T17:57:36.000Z,2408990,123245,1102,4033,False,False,Music,US,3:28
9375,yNnjXxi0VQ4,17.13.12,2017-12-12T02:00:01.000Z,269349,3272,239,1974,False,False,Entertainment,CA,
100577,EJqzDWEOXxs,18.13.05,2018-05-11T23:00:19.000Z,33182,276,10,48,False,False,Sports,FR,
49320,toh9VPkxqrs,18.11.03,2018-03-08T15:00:04.000Z,321296,19692,1117,680,False,False,Entertainment,DE,13:24
215197,wzRwHU11rlA,18.24.04,2018-04-20T05:17:06.000Z,111845,361,384,212,False,False,Sports,JP,
125082,QPn3lUhzaqM,17.12.12,2017-12-10T20:09:18.000Z,298203,10621,334,1567,False,False,Entertainment,GB,
269297,eaBiPdAt2xs,18.29.01,2018-01-29T04:44:28.000Z,3918,433,3,153,False,False,People & Blogs,MX,
69981,okoztdvbTgI,18.25.02,2018-02-24T21:16:48.000Z,4702,73,5,8,False,False,Sports,DE,
262295,KrC6GYA70Y4,18.18.04,2018-04-17T23:59:54.000Z,38874,711,47,126,False,False,Entertainment,MX,1:22:28
299602,x2KAU_dbujo,18.22.03,2018-03-21T18:29:46.000Z,6070,650,16,191,False,False,People & Blogs,RU,
61860,-iTzfs0wMuc,18.02.02,2018-02-01T12:55:27.000Z,45318,157,35,60,False,False,People & Blogs,DE,1:31:17
116610,8PQYZYh-gBk,18.06.03,2018-03-05T22:37:41.000Z,13002,1249,32,446,False,False,Film & Animation,FR,18:52
18511,fu3pithj4ZY,18.11.05,2018-05-11T04:02:58.000Z,4350,0,0,29,False,True,Entertainment,CA,
84017,aexKv2xDUYI,18.08.01,2018-01-07T16:05:43.000Z,66884,5576,77,622,False,False,Entertainment,FR,
172019,y1DgnfHxDN4,18.06.01,2018-01-04T05:00:04.000Z,56726,1503,46,67,False,False,Entertainment,IN,
272636,bu3UPssu6GY,18.22.04,2018-04-21T22:31:03.000Z,24714,140,5,12,False,False,People & Blogs,MX,0:43
107140,IG3EbFViiH0,17.10.12,2017-12-08T18:40:21.000Z,19526,1197,28,0,True,False,Education,FR,25:00
106004,2sjtGHP_HJU,18.07.05,2018-05-06T21:44:54.000Z,2819,0,0,0,True,True,People & Blogs,FR,
114792,SYMns2mrWnY,18.09.05,2018-05-08T11:46:04.000Z,15468,1836,5,230,False,False,News & Politics,FR,15:47
45124,WzS741vtoqc,18.13.01,2018-01-12T13:09:59.000Z,60686,5135,150,382,False,False,Entertainment,DE,
302381,59NeH8NIKC0,18.24.05,2018-05-23T18:13:31.000Z,34485,3673,88,269,False,False,People & Blogs,RU,
295616,E2mu_OeCGnI,18.03.01,2018-01-02T14:44:12.000Z,43632,1366,244,852,False,False,People & Blogs,RU,15:18
287926,Cu4EvogZOrI,18.17.04,2018-04-16T19:03:00.000Z,3688,169,1,13,False,False,Sports,MX,
281006,xj9HBK72WOI,18.23.01,2018-01-22T21:14:30.000Z,14414,721,39,119,False,False,Music,MX,24:18
328046,GXrtyqB1iLE,17.03.12,2017-12-02T14:59:58.000Z,8003,473,14,140,False,False,Howto & Style,RU,10:09
361079,VwAnsAUYnw4,18.26.02,2018-02-15T20:00:02.000Z,13882785,380406,13872,26945,False,False,Music,US,
52225,UsnLasfy0z8,18.27.04,2018-04-26T15:00:03.000Z,364774,1276,241,1508,False,False,Entertainment,DE,1:02:47
100388,5nsDxq_Anho,18.04.05,2018-05-03T23:19:46.000Z,16318,0,0,0,True,True,Sports,FR,
10608,GWmZBe092xo,18.02.01,2018-01-01T12:50:42.000Z,56768,94,27,102,False,False,Entertainment,CA,12:45
63989,cb9yxw4LIc0,18.23.04,2018-04-22T12:10:37.000Z,4297,253,9,37,False,False,People & Blogs,DE,
34769,P5Dt3e5kZUw,18.01.01,2017-12-31T16:00:18.000Z,571776,30634,291,4397,False,False,Gaming,CA,
216482,rKa1uivyqno,18.22.03,2018-03-20T19:00:05.000Z,54773,1681,50,139,False,False,Music,JP,4:34
92341,U1DNNqKCEBQ,17.28.12,2017-12-27T15:31:12.000Z,7699,50,27,112,False,False,Comedy,FR,15:24
96800,yipmJzxJU9E,18.16.05,2018-05-13T15:00:43.000Z,168873,8526,501,389,False,False,Gaming,FR,
80765,pqKx1DQI4Mk,18.19.04,2018-04-18T12:51:30.000Z,611873,16923,1467,8494,False,False,Science & Technology,DE,11:48
116552,ywmEEq_902Q,18.02.03,2018-03-01T09:30:01.000Z,12752,669,134,359,False,False,Film & Animation,FR,9:50
34688,QvjC2JMhvF0,17.22.12,2017-12-20T23:00:01.000Z,279809,9683,238,1628,False,False,Gaming,CA,17:52
225669,oK2O8Xtkrvs,17.18.11,2017-11-15T07:19:11.000Z,45058,60,10,54,False,False,News & Politics,KR,0:29
300825,O2Wd-OndBKk,18.21.04,2018-04-20T14:26:59.000Z,69323,875,64,350,False,False,People & Blogs,RU,
294627,Yu7eDkpRS_g,17.17.12,2017-12-16T15:31:08.000Z,59786,220,80,17,False,False,People & Blogs,RU,
18785,RHgr1YYbKg8,18.15.05,2018-05-12T16:00:04.000Z,145505,215,55,233,False,False,Entertainment,CA,1:19:31
266868,5D_x3C_f4Yo,17.02.12,2017-11-30T21:53:00.000Z,196314,8213,296,209,False,False,People & Blogs,MX,14:33
163491,eJ8rWDRCS0g,17.17.12,2017-12-15T07:08:23.000Z,157668,453,65,21,False,False,News & Politics,IN,
168770,tL58a9fIXJg,17.28.11,2017-11-26T11:32:30.000Z,74062,227,838,584,False,False,Entertainment,IN,4:12
95014,7VAeOiEoQtE,18.22.05,2018-05-21T11:48:35.000Z,143328,1028,52,24,False,False,Comedy,FR,8:25
289431,a_sR7O68NGs,17.03.12,2017-12-03T03:48:49.000Z,30775,2329,61,518,False,False,Film & Animation,MX,
195400,4fKgKl8W3ws,18.20.02,2018-02-20T02:45:01.000Z,5437,195,9,9,False,False,Education,IN,1:10:04
233659,Uint7kApLkk,18.14.03,2018-03-11T00:11:43.000Z,204876,2321,32,445,False,False,Sports,KR,
106168,GR6XtpExmnk,18.13.05,2018-05-13T09:45:18.000Z,9638,1312,2,48,False,False,People & Blogs,FR,3:10
197137,wAH2abwcJKI,17.10.12,2017-12-09T17:02:16.000Z,86278,1074,52,6,False,False,Sports,IN,
317508,hf_JyEJ6uVY,18.05.06,2018-06-04T14:00:42.000Z,66573,2481,322,260,False,False,Autos & Vehicles,RU,16:58
278012,I37Aa8AAXXQ,17.25.12,2017-12-24T15:00:02.000Z,2081160,27121,1947,2513,False,False,Howto & Style,MX,10:05
284518,4HKFWNVOpdw,18.07.04,2018-04-06T19:30:02.000Z,236418,12750,554,2075,False,False,Comedy,MX,
207208,jDiwMwmpmJw,18.19.02,2018-02-18T02:03:11.000Z,206876,3876,69,420,False,False,Entertainment,JP,
67221,SPHJcDBwa0s,18.20.04,2018-04-19T19:26:31.000Z,131011,1273,24,78,False,False,Film & Animation,DE,0:57
57768,q507qnmNn_E,18.06.04,2018-03-31T18:44:06.000Z,6861,0,0,22,False,True,Comedy,DE,
100306,p-UyW6sJDDI,18.30.04,2018-04-30T08:21:30.000Z,770,53,0,15,False,False,Sports,FR,5:10
102906,g1hy3GgUG_M,18.13.01,2018-01-12T18:57:35.000Z,5445,245,6,32,False,False,People & Blogs,FR,4:26
285303,roa8-e0nOLE,17.26.11,2017-11-25T06:06:44.000Z,49077,187,12,57,False,False,Sports,MX,
227274,NrdDOtiUky0,18.01.01,2017-12-30T08:07:48.000Z,49050,1098,36,238,False,False,News & Politics,KR,1:35:14
65357,MzmYYSlSACQ,18.12.06,2018-06-11T14:42:33.000Z,86102,6306,130,676,False,False,People & Blogs,DE,
278402,bgcPry6m9KU,18.25.01,2018-01-23T00:12:56.000Z,1717327,74007,2973,5285,False,False,Howto & Style,MX,
111172,8A3uKsKc6mg,18.23.01,2018-01-22T11:08:50.000Z,13451,214,5,7,False,False,Autos & Vehicles,FR,10:52
73497,at8CVrK9Gfo,17.03.12,2017-12-01T16:42:34.000Z,16878,1183,23,235,False,False,News & Politics,DE,
285136,9D-iQRoje4g,17.20.11,2017-11-20T01:54:40.000Z,510701,30075,363,818,False,False,Sports,MX,4:41
260659,PpDyDhmG9gM,18.19.03,2018-03-18T04:30:00.000Z,48557,788,38,27,False,False,Entertainment,MX,
175404,OSOgylHlY2g,18.19.02,2018-02-17T08:44:09.000Z,138993,1435,138,75,False,False,Entertainment,IN,
210206,i5-sBsXcLi8,18.30.04,2018-04-29T17:50:56.000Z,9321,24,5,7,False,False,Entertainment,JP,
303391,0ebLj8XQiQw,17.21.11,2017-11-20T14:03:45.000Z,42524,2147,161,356,False,False,Entertainment,RU,7:17
265616,nQmfgNwb4jE,18.06.06,2018-06-06T03:22:37.000Z,39995,1418,29,454,False,False,Entertainment,MX,
365928,3g246c6Bv58,18.16.01,2018-01-09T14:35:37.000Z,713748,32489,429,2401,False,False,Education,US,8:20
277848,uQOJa65Tx14,17.13.12,2017-12-12T20:00:02.000Z,519945,17254,732,2035,False,False,Howto & Style,MX,10:00
218518,FajOYGUS-30,17.16.11,2017-11-15T05:34:23.000Z,16171,6,0,4,False,False,People & Blogs,KR,
266456,nXHqtN_uuhM,17.22.11,2017-11-21T16:30:01.000Z,46805,5191,41,615,False,False,People & Blogs,MX,5:40
210688,MUm6SvU7ltA,18.10.05,2018-05-09T09:00:01.000Z,112537,132,77,32,False,False,Entertainment,JP,
225560,dFJpdVXZBEQ,17.16.11,2017-11-14T09:22:17.000Z,112858,29,3,5,False,False,News & Politics,KR,
85858,D4hCetTC97Q,18.19.02,2018-02-18T18:40:56.000Z,2418,127,7,15,False,False,Entertainment,FR,
132927,vkbS_oEN-Tg,18.14.06,2018-06-08T14:35:51.000Z,119856,4449,1835,1660,False,False,Entertainment,GB,
117425,kB3hdjTV5II,18.05.06,2018-05-28T13:52:33.000Z,108924,883,232,103,False,False,Film & Animation,FR,0:41
104937,u0YIbRUlww8,18.25.03,2018-03-24T10:09:31.000Z,4449,0,0,70,False,True,People & Blogs,FR,41:00
23465,5KSEqBzgTSg,18.23.03,2018-03-22T19:14:32.000Z,25118,536,9,150,False,False,News & Politics,CA,
67093,ZvoXft4VzJY,18.02.04,2018-03-31T21:15:44.000Z,112308,0,0,118,False,True,Film & Animation,DE,2:45:15
301294,u98lbzRRdkE,18.30.04,2018-04-29T17:02:23.000Z,43429,270,66,56,False,False,People & Blogs,RU,
261061,W4E0_uyjn_Q,18.25.03,2018-03-24T18:00:06.000Z,268571,18044,280,2460,False,False,Entertainment,MX,
369750,7gdoj1ViJ8M,18.29.03,2018-03-20T14:13:00.000Z,299370,12707,374,2388,False,False,Howto & Style,US,6:33
116879,xn3GPutONZs,18.04.04,2018-04-03T11:26:25.000Z,4401,135,3,11,False,False,Film & Animation,FR,
281436,2LMvy-dz-Xc,18.20.02,2018-02-19T10:13:53.000Z,258081,1464,239,76,False,False,Music,MX,
275104,u5yVoEZnP2s,18.23.01,2018-01-21T21:02:53.000Z,33140,745,74,350,False,False,News & Politics,MX,
217744,zng_x8lukhg,18.23.03,2018-03-22T16:13:00.000Z,61134,158,18,95,False,False,Gaming,JP,
357567,JYmejM38vKs,18.27.04,2018-04-26T03:22:51.000Z,945920,7559,349,2351,False,False,Sports,US,2:35
345509,-9OfAHgdV8Y,17.01.12,2017-11-29T20:00:00.000Z,1371506,18997,1185,2861,False,False,Comedy,US,
86744,G2A4GwHY6Ng,18.09.03,2018-03-07T17:59:20.000Z,217441,2810,198,522,False,False,Entertainment,FR,
329491,fo3hOPwuM2s,18.07.05,2018-05-06T14:38:39.000Z,26278,3961,22,252,False,False,Howto & Style,RU,11:38
289440,FRgj7mxgnZg,17.05.12,2017-12-04T02:20:45.000Z,43999,223,200,0,True,False,Film & Animation,MX,0:14
35481,ySkGRS1Upyo,18.02.05,2018-04-30T19:02:32.000Z,523084,39682,406,5806,False,False,Gaming,CA,
338227,8bqvu8eFZss,18.17.01,2018-01-13T13:59:35.000Z,511047,14224,434,187,False,False,Entertainment,US,2:27:58
238517,m-uWyJkAAjg,17.28.11,2017-11-27T14:36:01.000Z,12070,1307,1,220,False,False,Entertainment,KR,6:50
67869,Qkkss0dmWfs,17.29.11,2017-11-28T08:00:01.000Z,10192,188,23,38,False,False,Autos & Vehicles,DE,0:34
269392,5-rYqwKYuws,18.31.01,2018-01-29T18:09:37.000Z,28148,298,1,4,False,False,People & Blogs,MX,
47131,QrKk_Iswi04,18.10.02,2018-02-09T16:00:02.000Z,10322,808,36,42,False,False,Entertainment,DE,
300803,yIrPyFgdOkM,18.20.04,2018-04-19T03:33:07.000Z,49470,401,49,0,True,False,People & Blogs,RU,1:20
209801,8-_nhw3wacA,18.22.04,2018-04-21T15:09:34.000Z,25981,134,9,0,True,False,Entertainment,JP,
281926,7UUaXZ2Vef8,18.24.03,2018-03-23T05:30:00.000Z,10583,113,17,3,False,False,Music,MX,
92162,HIglzZWzKuQ,17.21.12,2017-12-19T19:43:37.000Z,47980,3826,150,371,False,False,Comedy,FR,
336730,OPbtnEXZ1H0,17.14.12,2017-12-07T15:20:15.000Z,458354,10399,129,840,False,False,Entertainment,US,8:31
256411,lTVow-CcDNI,18.12.01,2018-01-10T15:39:41.000Z,234121,10287,151,1780,False,False,Entertainment,MX,
21126,rbl05o8KNe0,17.25.11,2017-11-21T14:32:41.000Z,54993,1125,143,1101,False,False,News & Politics,CA,
121061,_BUd3Xgszoc,18.21.05,2018-05-18T11:00:08.000Z,234339,10290,1795,629,False,False,Music,FR,
158813,A_Z3AokMwWI,17.30.11,2017-11-18T19:12:51.000Z,1216539,0,0,8182,False,True,Gaming,GB,2:18:07
319003,wyl_oFOuIuM,18.20.01,2018-01-18T14:57:40.000Z,161373,3030,533,927,False,False,News & Politics,RU,
356380,TkCcncggO3I,18.04.01,2017-12-27T18:33:08.000Z,58556,975,24,44,False,False,Sports,US,3:27
109973,4inFYb_A9T8,18.25.05,2018-05-23T10:00:03.000Z,247435,31507,467,3652,False,False,Howto & Style,FR,4:40
251615,jBskdyDgpKg,18.05.06,2018-06-02T10:34:59.000Z,318309,2476,221,912,False,False,Autos & Vehicles,KR,18:00
220324,y5jyoH4S9CM,18.03.01,2018-01-02T03:15:14.000Z,50151,2109,9,97,False,False,People & Blogs,KR,
105262,FN2OmF7WzsA,18.05.04,2018-04-04T20:21:18.000Z,61020,368,75,19,False,False,People & Blogs,FR,
332514,RdAKIVgTKuw,17.13.12,2017-12-08T21:00:01.000Z,325386,6688,105,282,False,False,People & Blogs,US,1:30
109479,f6V2kbaUslU,18.07.04,2018-04-06T07:09:12.000Z,48918,4546,104,465,False,False,Howto & Style,FR,20:31
309954,2SauESfseks,18.20.04,2018-04-18T20:27:30.000Z,900276,144056,5730,131215,False,False,Science & Technology,RU,12:07
282562,USoVMnw9Q4M,18.06.05,2018-05-05T20:30:03.000Z,11166,653,70,84,False,False,Music,MX,
271875,k4Tnxvg51jI,18.28.03,2018-03-27T22:52:28.000Z,4291,600,12,71,False,False,People & Blogs,MX,5:41
312047,s6PEC9hUap8,18.14.03,2018-03-12T10:22:01.000Z,71406,770,274,251,False,False,Comedy,RU,
237119,hYlTCv5nYsY,18.04.03,2018-02-28T15:00:04.000Z,264195,18199,68,1271,False,False,Music,KR,0:14
193467,MLxGBCv9y6E,18.26.03,2018-03-25T05:22:54.000Z,176536,1795,192,469,False,False,People & Blogs,IN,
211238,OQjBMQYB5sQ,18.20.05,2018-05-18T11:07:58.000Z,983466,25746,792,8497,False,False,Entertainment,JP,
232093,Po46TELkr6g,18.22.05,2018-05-18T21:02:32.000Z,305256,0,0,0,True,True,News & Politics,KR,
270475,w990iSUEymc,18.24.02,2018-02-24T00:13:34.000Z,13047,234,14,46,False,False,People & Blogs,MX,
194477,0aFnAF63j2o,18.16.02,2018-02-14T07:37:54.000Z,288950,6453,279,1048,False,False,Science & Technology,IN,7:34
354068,LTNOYZ44ywM,17.26.12,2017-12-18T17:40:48.000Z,144773,430,199,330,False,False,News & Politics,US,
234746,tiv7BnbAxdE,18.23.01,2018-01-21T02:10:37.000Z,73260,230,43,537,False,False,Comedy,KR,
268869,5cKrbmkPGxA,18.20.01,2018-01-19T22:33:30.000Z,288806,40653,389,14331,False,False,People & Blogs,MX,
292034,6CZcUrohuXU,18.04.02,2018-02-04T00:37:07.000Z,123120,966,25,516,False,False,Gaming,MX,
338840,4Uhe7pNqCFo,18.31.01,2018-01-26T17:00:03.000Z,2297105,73435,1314,3728,False,False,Entertainment,US,0:06
71957,34oYEp3JyFE,18.20.01,2018-01-19T12:28:56.000Z,7561,559,11,101,False,False,Howto & Style,DE,7:22
301142,w92BUAHkbak,18.27.04,2018-04-26T21:24:11.000Z,3842,567,34,216,False,False,People & Blogs,RU,7:15
196516,OQ7zjzMtvew,18.14.03,2018-03-11T12:51:35.000Z,112316,925,75,22,False,False,Howto & Style,IN,
121782,WlveebuxoN8,18.11.02,2018-02-10T13:00:03.000Z,577810,37198,880,24531,False,False,Pets & Animals,FR,19:22
263453,7JfPPFw9_S4,18.06.05,2018-05-05T17:00:01.000Z,243211,23717,693,2979,False,False,Entertainment,MX,3:02
119175,uVs5KJFgKNQ,18.17.02,2018-02-16T02:34:02.000Z,97421,2601,68,145,False,False,Music,FR,
277434,m7cRGq35eK8,17.15.11,2017-11-14T22:35:00.000Z,3873,585,8,9,False,False,Howto & Style,MX,0:58
