,video_id,trending_date,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,category_title,Country
298582,ri3_Bl_7K_k,18.01.03,2018-03-01T05:26:11.000Z,4394,414,21,39,False,False,People & Blogs,RU
117794,8xLgONRGZ_w,17.02.12,2017-12-01T15:31:05.000Z,4639,323,10,56,False,False,Music,FR
242416,8STC2BljxCY,18.04.03,2018-03-02T15:59:47.000Z,44650,25,29,69,False,False,Entertainment,KR
266080,Pr2EMBSy3uc,18.14.06,2018-06-13T14:10:28.000Z,450828,1051,406,583,False,False,Entertainment,MX
226593,XB4ulCr3_Cc,17.13.12,2017-12-12T04:31:28.000Z,69689,2607,93,286,False,False,News & Politics,KR
104273,H6KcymkPeg4,18.04.03,2018-03-03T08:00:00.000Z,6059,417,16,94,False,False,People & Blogs,FR
76880,jl8mGTD4KqI,18.31.01,2018-01-26T16:57:09.000Z,1565206,75103,4838,6134,False,False,Music,DE
277820,5nVoGdVfsNc,17.10.12,2017-12-10T04:01:12.000Z,1485,118,2,21,False,False,Howto & Style,MX
300921,9AdiZYiMigA,18.23.04,2018-04-22T03:00:00.000Z,422751,6574,1056,1263,False,False,People & Blogs,RU
309150,DNwTXSrQ6AQ,17.16.11,2017-11-14T14:38:51.000Z,433857,58888,729,4665,False,False,Science & Technology,RU
199105,K4u_H9mo4lY,18.22.05,2018-05-20T23:14:45.000Z,21356,78,18,3,False,False,News & Politics,JP
259591,r3S1Q-uvo1Q,18.03.03,2018-03-02T20:00:03.000Z,19242,138,34,33,False,False,Entertainment,MX
225899,Nm7PsMycHvE,17.24.11,2017-11-22T09:27:21.000Z,147160,361,96,338,False,False,News & Politics,KR
198321,FZUJkoThQAY,18.07.03,2018-03-06T10:00:01.000Z,99476,1268,120,951,False,False,News & Politics,JP
253626,hG4lM-yXnqs,17.29.11,2017-11-28T17:30:01.000Z,48101,7577,56,459,False,False,Entertainment,MX
318315,AbLSSSMviwM,17.16.12,2017-12-15T01:11:30.000Z,156244,1376,358,898,False,False,News & Politics,RU
204208,S6qKBJrH-IM,18.23.05,2018-05-22T03:49:55.000Z,89060,2139,38,433,False,False,People & Blogs,JP
273439,HcYvZHhaI40,18.13.05,2018-05-12T17:35:53.000Z,43678,4348,135,556,False,False,People & Blogs,MX
239675,lMcZ_Dc-mME,17.25.12,2017-12-24T16:09:25.000Z,18545,1167,281,108,False,False,Entertainment,KR
228983,gyAaNmyr9gU,18.22.02,2018-02-20T13:06:00.000Z,45498,3894,66,298,False,False,News & Politics,KR
101815,687-OxEhmnk,17.04.12,2017-12-03T05:55:37.000Z,32438,73,51,23,False,False,People & Blogs,FR
370164,N-z9PidYH4E,18.21.04,2018-04-05T01:30:02.000Z,1116365,52181,2195,6012,False,False,Howto & Style,US
254636,FYP1fBzC6dg,17.16.12,2017-12-15T19:36:36.000Z,159843,1532,1319,1841,False,False,Entertainment,MX
50493,Wcf2iiJb0Mo,18.27.03,2018-03-26T17:00:05.000Z,18293,741,41,302,False,False,Entertainment,DE
298184,sqEt9l57YNY,18.21.02,2018-02-19T11:56:11.000Z,362660,33728,2346,3909,False,False,People & Blogs,RU
59054,OTAWaw8YfHw,18.28.02,2018-02-26T10:11:08.000Z,18801,1267,53,467,False,False,Education,DE
322334,GZKg06yqIV8,18.18.05,2018-05-17T14:38:50.000Z,27050,116,36,55,False,False,News & Politics,RU
52577,yDT-z1QWsZc,18.02.05,2018-05-01T17:00:09.000Z,57880,243,18,20,False,False,Entertainment,DE
88091,laHKzWaR2vM,18.15.04,2018-04-14T15:34:36.000Z,3923,313,6,135,False,False,Entertainment,FR
176898,BPdJfm9jllI,18.11.03,2018-03-10T10:30:01.000Z,38161,526,33,201,False,False,Entertainment,IN
254792,y8nB9tkhgVY,17.18.12,2017-12-17T23:20:14.000Z,9850,825,11,112,False,False,Entertainment,MX
68002,agyIQjYgSvc,18.14.01,2018-01-12T10:30:00.000Z,472997,16593,361,2829,False,False,Autos & Vehicles,DE
198939,5Daz9dbs6wA,18.02.05,2018-05-01T10:05:06.000Z,172809,363,172,511,False,False,News & Politics,JP
205797,SU5k9ZvDZ5I,18.08.03,2018-03-07T09:00:01.000Z,13663,643,5,66,False,False,Pets & Animals,JP
320805,v7cyNw7DNyU,18.26.03,2018-03-25T18:45:13.000Z,243363,1250,619,1933,False,False,News & Politics,RU
71806,2XbofmLMcaI,18.02.01,2018-01-01T15:17:12.000Z,91048,5634,389,479,False,False,Howto & Style,DE
81056,xYJCRtCH1ec,18.03.02,2018-02-02T09:33:09.000Z,7208,624,8,87,False,False,Pets & Animals,DE
166296,MctN1IV6tJg,18.14.04,2018-04-13T16:15:06.000Z,177146,9270,341,1454,False,False,News & Politics,IN
52009,VoY3BfFlYCM,18.24.04,2018-04-23T19:00:24.000Z,72992,872,250,514,False,False,Entertainment,DE
99806,RB8RkP53jyc,18.30.03,2018-03-29T11:29:49.000Z,4828,10,1,5,False,False,Sports,FR
191243,7pHCktrxJu0,18.30.05,2018-05-28T23:00:00.000Z,329040,1779,288,259,False,False,Music,IN
306278,WpLjbJJmDVA,18.08.03,2018-03-07T11:00:40.000Z,175742,4114,315,135,False,False,Entertainment,RU
9381,BTWYY7m3IK8,17.13.12,2017-12-12T18:24:23.000Z,53086,615,41,189,False,False,Entertainment,CA
265929,RlwMH8XJKuM,18.11.06,2018-06-10T11:28:47.000Z,35591,115,101,22,False,False,Entertainment,MX
220365,tarJLvdR00c,18.04.01,2018-01-03T09:44:19.000Z,15428,1166,5,130,False,False,People & Blogs,KR
66133,6JZtRppw6dw,18.05.01,2018-01-03T15:00:00.000Z,20216,2463,14,228,False,False,Film & Animation,DE
58848,v0RxRKDmiRI,18.08.01,2018-01-07T11:00:09.000Z,4453,321,5,74,False,False,Education,DE
103040,dsVqwjHMmqg,18.18.01,2018-01-17T16:32:28.000Z,3661,593,10,113,False,False,People & Blogs,FR
117382,WU6ImvdgLlQ,18.30.05,2018-05-28T20:58:51.000Z,77913,817,65,89,False,False,Film & Animation,FR
203708,sKV0H8mvU20,18.05.05,2018-05-04T12:16:53.000Z,48816,1337,13,68,False,False,People & Blogs,JP
257270,lTj0_vCefo0,18.26.01,2018-01-24T20:27:52.000Z,505957,57047,340,3094,False,False,Entertainment,MX
268946,6kUlFKUgLVA,18.22.01,2018-01-22T02:01:10.000Z,42294,520,61,179,False,False,People & Blogs,MX
207834,TIM7LwStsQU,18.04.03,2018-03-03T17:00:01.000Z,3173,48,4,8,False,False,Entertainment,JP
189024,CN52WhGtuf8,18.09.02,2018-02-07T23:30:00.000Z,57531,327,67,39,False,False,Music,IN
90697,Wmk_N9Mnp98,18.06.06,2018-06-04T18:19:25.000Z,191455,11025,2593,2086,False,False,Entertainment,FR
192936,0uHkkyOMZkQ,18.14.02,2018-02-13T08:36:04.000Z,170400,657,100,255,False,False,People & Blogs,IN
365208,MIQKlHSD89E,18.07.04,2018-03-23T21:00:01.000Z,4218040,118478,1257,6892,False,False,Pets & Animals,US
117725,f4Ps2-aPbAI,17.27.11,2017-11-26T15:15:25.000Z,8636,127,14,41,False,False,Music,FR
98596,09LGlBhk7t0,18.01.02,2018-01-30T22:25:38.000Z,73135,429,24,88,False,False,Sports,FR
104368,n64Cr2wNJnw,18.08.03,2018-03-07T04:07:50.000Z,790257,5924,789,639,False,False,People & Blogs,FR
206356,PSJf9NnMpHs,18.22.05,2018-05-21T09:00:05.000Z,30141,929,51,180,False,False,Pets & Animals,JP
270703,zRaHcUMsAVg,18.02.03,2018-03-02T01:01:43.000Z,5819,15,1,0,False,False,People & Blogs,MX
260828,4gCwJB_5HFk,18.21.03,2018-03-21T01:19:27.000Z,2739,0,0,30,False,True,Entertainment,MX
72895,-RUrr0VFmkE,18.11.05,2018-05-09T18:00:00.000Z,20183,839,39,56,False,False,Howto & Style,DE
302278,S0RIUgK2WWM,18.21.05,2018-05-19T21:17:49.000Z,368852,3760,233,581,False,False,People & Blogs,RU
273615,gIvcl6d9nMQ,18.17.05,2018-05-16T19:25:14.000Z,37489,1015,50,123,False,False,People & Blogs,MX
217816,RDqu0IaUQog,18.31.03,2018-03-30T10:33:12.000Z,94521,1605,92,341,False,False,Gaming,JP
274880,yIuERh9dG-o,18.03.01,2018-01-01T14:12:13.000Z,29320,320,27,115,False,False,News & Politics,MX
91050,DvBFsUJ1-nw,18.12.06,2018-06-11T16:00:03.000Z,18490,1435,25,118,False,False,Entertainment,FR
165184,gMTTvjbIjgM,18.22.02,2018-02-20T14:49:50.000Z,218049,11418,527,1628,False,False,News & Politics,IN
281558,XWyzQpPDyN0,18.28.02,2018-02-27T14:07:18.000Z,33979,309,25,7,False,False,Music,MX
275495,QDfVRzZM4fs,18.22.02,2018-02-21T17:20:00.000Z,21122,871,60,197,False,False,News & Politics,MX
327406,FubxXK_etu4,18.29.05,2018-05-28T20:00:01.000Z,52598,306,34,23,False,False,Film & Animation,RU
163834,alr8iR3Sm0U,17.28.12,2017-12-24T11:59:08.000Z,167489,972,80,52,False,False,News & Politics,IN
96542,VD_U6APTSeg,18.29.03,2018-03-26T16:30:00.000Z,250074,8789,239,1250,False,False,Gaming,FR
169090,XGEFeVzceNg,17.02.12,2017-11-27T18:50:11.000Z,1615238,10334,1957,1171,False,False,Entertainment,IN
202135,hOVJVJ432l0,18.21.03,2018-03-20T17:28:12.000Z,26283,489,8,100,False,False,People & Blogs,JP
312605,YOcMTremiYI,18.28.04,2018-04-27T12:40:07.000Z,8087,105,23,7,False,False,Comedy,RU
318318,r5Ge1b6KgX0,17.16.12,2017-12-14T11:09:19.000Z,147475,0,0,196,False,True,News & Politics,RU
214490,h4XNjxrg7oI,18.08.03,2018-03-07T22:40:32.000Z,164794,0,0,512,False,True,Sports,JP
262681,SmzHp57l75c,18.24.04,2018-04-23T21:03:20.000Z,10280,187,1,13,False,False,Entertainment,MX
313526,asiZQ3hv6zQ,18.04.01,2018-01-03T15:54:40.000Z,4935,457,12,28,False,False,Education,RU
306693,i7NOiQmZzYg,18.23.03,2018-03-22T10:37:53.000Z,333568,28376,743,1165,False,False,Entertainment,RU
102996,mh2AEjCozvY,18.17.01,2018-01-16T20:30:28.000Z,10323,73,10,29,False,False,People & Blogs,FR
331038,5CfdA1Yoquk,18.25.03,2018-03-24T06:59:49.000Z,301099,27127,1884,1249,False,False,Music,RU
259536,MHG0vL8kGTU,18.02.03,2018-03-01T17:17:41.000Z,212064,12071,1081,1959,False,False,Entertainment,MX
305802,zr2DWbm2vKQ,18.18.02,2018-02-17T14:01:41.000Z,138811,592,179,32,False,False,Entertainment,RU
61861,aZ4z_AoHLAA,18.02.02,2018-02-01T15:23:26.000Z,5042,135,5,31,False,False,People & Blogs,DE
258412,DV5_3DzCzEY,18.13.02,2018-02-12T01:00:01.000Z,236204,21053,425,613,False,False,Entertainment,MX
297646,Fu9tiQMInZA,18.10.02,2018-02-09T13:13:15.000Z,29812,2011,41,234,False,False,People & Blogs,RU
73613,TaPck-AUoU0,17.12.12,2017-12-10T16:13:17.000Z,298334,2283,1085,1787,False,False,News & Politics,DE
294980,IQzoiaMrOKM,17.23.12,2017-12-22T08:30:02.000Z,12443,42,51,15,False,False,People & Blogs,RU
225672,cIeX45M0gKg,17.18.11,2017-11-15T11:07:53.000Z,43434,2042,34,200,False,False,News & Politics,KR
207400,WFxrBfCtlGU,18.23.02,2018-02-22T13:15:00.000Z,8398,53,1,0,True,False,Entertainment,JP
216820,SpPYtVGddb4,18.27.04,2018-04-26T13:07:50.000Z,41296,1630,66,352,False,False,Music,JP
288298,4H08q9_r_j8,18.07.05,2018-05-07T02:11:39.000Z,24812,156,14,83,False,False,Sports,MX
211703,AsYqAjpAXKk,18.27.05,2018-05-26T09:46:02.000Z,57220,504,123,98,False,False,Entertainment,JP
88822,lXmPPvW9E0w,18.01.05,2018-04-29T10:00:26.000Z,136661,5296,181,246,False,False,Entertainment,FR
261644,emtQbcFDS1w,18.03.04,2018-04-03T00:25:00.000Z,595514,3840,449,588,False,False,Entertainment,MX
210740,yRpR0-i-qyA,18.11.05,2018-05-10T14:08:21.000Z,7929,93,4,4,False,False,Entertainment,JP
306472,Gihng2YSwas,18.15.03,2018-03-14T14:56:01.000Z,79631,202,84,346,False,False,Entertainment,RU
286414,VnzAiabbHXM,18.22.01,2018-01-22T04:33:57.000Z,27660,146,20,1,False,False,Sports,MX
94277,cHGW1DIg_Zw,18.15.04,2018-04-13T08:00:02.000Z,213939,7514,214,751,False,False,Comedy,FR
175114,vtvvjeejPp4,18.16.02,2018-02-14T21:48:27.000Z,38459,79,7,3,False,False,Entertainment,IN
86435,OAl56KRO08U,18.04.03,2018-03-03T16:00:02.000Z,97144,5638,484,671,False,False,Entertainment,FR
222167,QVRwfbjeUmY,18.25.02,2018-02-23T16:14:37.000Z,205767,2426,21,361,False,False,People & Blogs,KR
276159,PXtUQKWcaAk,18.16.04,2018-04-14T03:15:05.000Z,491381,2428,797,1350,False,False,News & Politics,MX
260919,z60RztKTZ5I,18.23.03,2018-03-22T03:08:02.000Z,99790,729,29,68,False,False,Entertainment,MX
277130,71DSHhjtAWY,18.05.06,2018-06-04T17:55:21.000Z,539412,1716,415,200,False,False,News & Politics,MX
219130,3FfkhLVrEQc,17.01.12,2017-11-28T04:07:31.000Z,95088,352,42,117,False,False,People & Blogs,KR
256750,vwxtAjrMxzo,18.18.01,2018-01-15T16:00:09.000Z,1510010,211855,3749,8113,False,False,Entertainment,MX
241401,gorbavNTmxw,18.09.02,2018-02-05T10:17:08.000Z,370661,4082,240,1196,False,False,Entertainment,KR
100497,uwFrvdKBeCE,18.09.05,2018-05-08T06:47:30.000Z,178636,7887,181,339,False,False,Sports,FR
290640,d5m4re2J9E8,17.29.11,2017-11-28T19:07:10.000Z,25305,1867,26,201,False,False,Education,MX
102191,g1kT-tIonhk,17.16.12,2017-12-14T17:30:00.000Z,20635,2607,27,560,False,False,People & Blogs,FR
308223,AITRit3FzOE,18.19.05,2018-05-17T14:22:09.000Z,297399,25304,457,1164,False,False,Entertainment,RU
296968,zHBaRPWSWbE,18.28.01,2018-01-27T08:30:01.000Z,19886,1926,25,134,False,False,People & Blogs,RU
269491,ZK1DX15la6k,18.02.02,2018-02-01T20:32:55.000Z,25104,820,40,96,False,False,People & Blogs,MX
42494,9kLGwoc5H1c,17.08.12,2017-12-07T11:00:00.000Z,284163,7077,216,853,False,False,Entertainment,DE
17284,53MMklb-sUQ,18.23.04,2018-04-22T04:06:35.000Z,419119,3159,412,1113,False,False,Entertainment,CA
287633,IY13Kd7oiis,18.27.03,2018-03-27T02:30:01.000Z,2218,97,1,24,False,False,Sports,MX
260782,M0u79VPjfK8,18.21.03,2018-03-20T22:42:01.000Z,178692,2211,176,550,False,False,Entertainment,MX
22495,vI8WvxOSsK8,18.31.01,2018-01-29T11:10:18.000Z,13268,32,10,33,False,False,News & Politics,CA
15219,liEBZi4tmzA,18.17.03,2018-03-15T19:17:42.000Z,622756,20377,262,4019,False,False,Entertainment,CA
213622,Aw2giy6V5aU,18.08.06,2018-06-07T09:30:42.000Z,131283,962,64,347,False,False,Howto & Style,JP
105912,bFxFDL2DwyU,18.04.05,2018-05-03T10:06:55.000Z,679552,2763,856,694,False,False,People & Blogs,FR
251437,gOsyzl9QXEc,18.08.06,2018-06-05T07:35:32.000Z,159080,6468,90,2380,False,False,Gaming,KR
36661,qbMLBCmdl6Q,18.24.01,2018-01-23T01:59:41.000Z,6216,11,1,9,False,False,Sports,CA
207318,eNFkmQS1Tz8,18.21.02,2018-02-20T03:00:01.000Z,51754,269,19,60,False,False,Entertainment,JP
267308,5eB7xc0IWEY,17.14.12,2017-12-13T18:19:30.000Z,14251,119,66,209,False,False,People & Blogs,MX
240682,xo7eEMY98zQ,18.21.01,2018-01-17T10:30:02.000Z,445472,7309,243,2701,False,False,Entertainment,KR
244000,ZsysRMW7do0,18.15.04,2018-04-06T11:56:02.000Z,20448,58,13,0,False,False,Entertainment,KR
257034,uL6KWBZYDoQ,18.23.01,2018-01-22T09:47:23.000Z,79994,375,90,361,False,False,Entertainment,MX
112349,cMpN2aKZBIY,17.21.12,2017-12-20T20:51:56.000Z,2715,391,2,48,False,False,News & Politics,FR
201814,BvWJ2ceU-iI,18.09.03,2018-03-08T09:15:47.000Z,78326,31,190,12,False,False,People & Blogs,JP
289132,pARVoPa2sRY,18.30.01,2018-01-29T11:00:03.000Z,29379,2140,288,838,False,False,Autos & Vehicles,MX
121290,MP2bKupYaAs,18.04.06,2018-06-01T14:00:01.000Z,360330,10018,468,686,False,False,Music,FR
50960,ynR-hWBxkbg,18.03.04,2018-04-02T16:00:11.000Z,699768,39510,2256,6892,False,False,Entertainment,DE
98566,up0LM4Q8Zp8,18.31.01,2018-01-29T00:57:41.000Z,336980,3106,152,474,False,False,Sports,FR
263431,7pcBa8Y4o7U,18.05.05,2018-05-04T18:55:12.000Z,14766,802,26,36,False,False,Entertainment,MX
308076,mxmhDzfPxvM,18.15.05,2018-05-14T22:00:57.000Z,9158,785,72,181,False,False,Entertainment,RU
289250,FQrW5dKIvvA,18.16.05,2018-05-15T13:18:50.000Z,75966,8523,46,453,False,False,Autos & Vehicles,MX
252838,U_3Op0bQtZk,17.16.11,2017-11-15T09:33:53.000Z,32039,1034,33,50,False,False,Entertainment,MX
76081,OPar4-CFjAU,18.12.06,2018-06-11T15:24:29.000Z,217651,944,180,1334,False,False,News & Politics,DE
210749,a3Fmwgz-hoo,18.11.05,2018-05-10T03:41:56.000Z,7937,63,3,5,False,False,Entertainment,JP
269490,u7GjzoVEMaY,18.02.02,2018-02-01T11:42:16.000Z,24784,1609,18,217,False,False,People & Blogs,MX
63376,4XIJtq2NN90,18.28.03,2018-03-27T12:49:23.000Z,31765,94,36,51,False,False,People & Blogs,DE
275344,4nZADYlxtGY,18.14.02,2018-02-13T20:15:15.000Z,82930,2977,178,881,False,False,News & Politics,MX
239057,TuZY1Q0fCKk,17.10.12,2017-12-06T03:08:03.000Z,99555,136,89,63,False,False,Entertainment,KR
205158,1WrZgAuom3o,18.22.05,2018-05-21T12:59:56.000Z,407000,4948,236,271,False,False,Comedy,JP
41818,5fCMaj6i4g4,17.29.11,2017-11-28T16:30:00.000Z,5357,256,2,8,False,False,Entertainment,DE
17534,VRCwJocpk6Y,18.27.04,2018-04-25T17:03:03.000Z,697769,3148,473,827,False,False,Entertainment,CA
116658,sybvwbJoMcM,18.11.03,2018-03-09T19:14:46.000Z,102269,4904,42,338,False,False,Film & Animation,FR
103997,PT1PjW9TEas,18.22.02,2018-02-20T19:55:20.000Z,27127,88,18,12,False,False,People & Blogs,FR
109448,VEWymdnbMDQ,18.04.04,2018-04-03T15:30:00.000Z,25604,2148,23,80,False,False,Howto & Style,FR
238496,UnVesCxDPEY,17.27.11,2017-11-25T10:15:38.000Z,35520,1978,197,58,False,False,Entertainment,KR
118851,RXO8ZSFjZJU,18.01.02,2018-01-29T17:30:01.000Z,50224,2937,47,172,False,False,Music,FR
11643,WrkqB8PIH_o,18.20.01,2018-01-18T16:00:04.000Z,546536,2728,368,1011,False,False,Entertainment,CA
121828,Zca8k3P5DB4,18.11.03,2018-03-10T17:36:18.000Z,11311,1640,8,153,False,False,Pets & Animals,FR
315243,73thzHPFW0M,18.24.03,2018-03-23T19:41:23.000Z,4263,498,9,83,False,False,Sports,RU
198075,f3l6zAnSQAM,18.16.02,2018-02-15T12:00:04.000Z,18360,283,25,71,False,False,News & Politics,JP
202413,6CGg7vq9WE0,18.29.03,2018-03-27T23:23:00.000Z,12086,26,2,3,False,False,People & Blogs,JP
239497,bI-JvZVDanQ,17.21.12,2017-12-20T03:00:02.000Z,896410,5046,519,857,False,False,Entertainment,KR
303183,gJZuRFDgUwk,18.14.06,2018-06-12T05:46:17.000Z,69336,1923,195,271,False,False,People & Blogs,RU
178586,bCfmB_FG6os,18.01.04,2018-03-29T11:45:49.000Z,1404406,5640,616,335,False,False,Entertainment,IN
75241,W7Y7Dln8LGE,18.05.04,2018-04-04T12:09:33.000Z,142708,5824,479,1330,False,False,News & Politics,DE
253371,yr0wukcQgKI,17.25.11,2017-11-24T15:33:28.000Z,6075,0,0,3,False,True,Entertainment,MX
262764,_jsAyzrDH48,18.25.04,2018-04-24T14:00:03.000Z,17992,128,8,20,False,False,Entertainment,MX
119359,FkzJ_NtVt7E,18.25.02,2018-02-23T19:43:59.000Z,1317886,44952,6389,6132,False,False,Music,FR
89874,a5v-2Qa69K0,18.23.05,2018-05-22T19:26:50.000Z,268694,1263,172,127,False,False,Entertainment,FR
347328,XKrV_JqZX1Q,18.23.03,2018-03-20T10:30:00.000Z,1337261,18250,450,1083,False,False,Comedy,US
252064,vqXifPkpVbA,18.05.06,2018-06-02T13:00:05.000Z,87049,1066,70,101,False,False,Education,KR
70303,XBElQYUzSw0,18.21.03,2018-03-19T07:54:55.000Z,20962,126,8,48,False,False,Sports,DE
350530,8udNOTFiqUs,18.23.04,2018-04-12T20:37:38.000Z,2044300,19749,1182,1694,False,False,Science & Technology,US
211360,vIItTgus0YQ,18.22.05,2018-05-20T22:57:50.000Z,21204,80,57,10,False,False,Entertainment,JP
203380,E3wmYM8Lv04,18.27.04,2018-04-26T21:55:12.000Z,4625,9,4,7,False,False,People & Blogs,JP
